train_loss,epoch,step,val_loss
-0.09740002893670274,0,49,
-0.28352888570407986,0,99,
-0.4235890106317406,0,149,
-0.3141010762202616,0,199,
-0.47310095046059697,0,249,
,0,249,2.774684105768604
-0.7109671291678659,1,299,
-0.530613798457193,1,349,
-0.8268901960105275,1,399,
-0.9734842437560669,1,449,
-0.7743346101820803,1,499,
,1,499,5.330337526246195
-0.8936768464052656,2,549,
-0.7735751531213013,2,599,
-1.3346417520289369,2,649,
-1.264007633432877,2,699,
-0.7591492961633204,2,749,
,2,749,15.33339895307235
-1.273542502286184,3,799,
-0.9104811195409914,3,849,
-1.4317627061861926,3,899,
-1.6294029726982835,3,949,
-1.173803450559562,3,999,
,3,999,4.881829802297788
-1.3659945638534454,4,1049,
-1.1267451028679054,4,1099,
-1.5434825651216948,4,1149,
-1.5857261338396595,4,1199,
-1.3139268856666668,4,1249,
,4,1249,4.5036412009988
-1.4103718048562974,5,1299,
-1.1128460801369355,5,1349,
-1.5411534637730306,5,1399,
-1.7767010532939977,5,1449,
-1.2548375040503714,5,1499,
,5,1499,1.0277925852467378
-1.3921140495467876,6,1549,
-1.271886428765752,6,1599,
-1.5871641724475687,6,1649,
-1.7598607657034844,6,1699,
-1.3755773917574179,6,1749,
,6,1749,4.492934623419263
-1.4943735177101314,7,1799,
-1.2713147372918412,7,1849,
-1.7139338879587,7,1899,
-1.75081943540155,7,1949,
-1.4481646871711211,7,1999,
,7,1999,2.982755081711381
-1.4709166590521596,8,2049,
-1.371752546346695,8,2099,
-1.69863788966896,8,2149,
-1.7526058358728036,8,2199,
-1.461172460324092,8,2249,
,8,2249,7.196402005385512
-1.38844717021913,9,2299,
-1.415178099858991,9,2349,
-1.7967737029258122,9,2399,
-1.6101433641739473,9,2449,
-1.4407707299854295,9,2499,
,9,2499,0.853157843010321
-1.52757311914196,10,2549,
-1.3819474350806071,10,2599,
-1.8335810554326781,10,2649,
-1.7787541780841551,10,2699,
-1.5603297408350911,10,2749,
,10,2749,16.514829972386455
-1.555903267909743,11,2799,
-1.561610741348527,11,2849,
-1.7932090245285006,11,2899,
-1.6234720920257222,11,2949,
-1.6502582072126044,11,2999,
,11,2999,2.0346397124265416
-1.5675375390225785,12,3049,
-1.5087228396060872,12,3099,
-1.7701874915495108,12,3149,
-1.816244800923401,12,3199,
-1.8071590038344305,12,3249,
,12,3249,3.03012190484737
-1.6776748830628125,13,3299,
-1.544685862398847,13,3349,
-1.8849094774671027,13,3399,
-1.8193679179771065,13,3449,
-1.780415861011777,13,3499,
,13,3499,2.6593503920896966
-1.5948680400345412,14,3549,
-1.4954116958713628,14,3599,
-1.8247968157434893,14,3649,
-1.8891084843955348,14,3699,
-1.6777363745705705,14,3749,
,14,3749,-1.1876324585105906
-1.5801448073429003,15,3799,
-1.6434311153722247,15,3849,
-1.8404758075892764,15,3899,
-1.8723449992479542,15,3949,
-1.7500322536588173,15,3999,
,15,3999,0.9045718309383687
-1.6404681678625552,16,4049,
-1.692725139452663,16,4099,
-1.9027376480481384,16,4149,
-1.847909077109445,16,4199,
-1.5211796845613885,16,4249,
,16,4249,-0.7085440861166725
-1.6771031909240477,17,4299,
-1.6907582882878156,17,4349,
-1.8649230050096237,17,4399,
-1.810840876717473,17,4449,
-1.7551676369808105,17,4499,
,17,4499,4.087088993618804
-1.737921795386656,18,4549,
-1.643057089794635,18,4599,
-1.916981754616631,18,4649,
-1.8863797171601142,18,4699,
-1.8566913804213412,18,4749,
,18,4749,2.9193421003811357
-1.7135391277660528,19,4799,
-1.710810411261058,19,4849,
-1.8251504872710451,19,4899,
-1.8407034320198576,19,4949,
-1.8295175658110567,19,4999,
,19,4999,2.40860213828605
