train_loss,epoch,step,val_loss
-1.340357702786557,0,49,
,0,62,21.538886703272627
-1.672569118504935,1,99,
,1,125,27.312017112506503
-1.7370268584199267,2,149,
,2,188,6.837303656332689
-1.8613952463591001,3,199,
-2.004757207088725,3,249,
,3,251,6.668353901970209
-1.6245336356573312,4,299,
,4,314,0.5340516898658114
-1.868362969970386,5,349,
,5,377,9.964439341057147
-2.0960013692372326,6,399,
,6,440,15.942936209489664
-1.8371429091478815,7,449,
-1.9163054731180713,7,499,
,7,503,8.825579087966025
-2.2077527477769427,8,549,
,8,566,0.17136844268986537
-2.064159938216646,9,599,
,9,629,6.669033676970635
-2.124797401395464,10,649,
,10,692,8.812006058535635
-2.2070757591192294,11,699,
-2.2336012879077405,11,749,
,11,755,4.943130226417946
-2.019375499234579,12,799,
,12,818,0.6108189998900605
-2.1998266258992807,13,849,
,13,881,7.299045547897399
