train_loss,epoch,step,val_loss,test_loss
-2.4316487312316895,0,49,,
-2.931776285171509,0,99,,
,0,124,-3.00297212600708,
-2.865926742553711,1,149,,
-3.1613261699676514,1,199,,
-3.4991395473480225,1,249,,
,1,249,-3.086838483810425,
-2.9675285816192627,2,299,,
-3.082876682281494,2,349,,
,2,374,-3.167954206466675,
-2.912379264831543,3,399,,
-3.3324122428894043,3,449,,
-3.5813450813293457,3,499,,
,3,499,-3.2261321544647217,
-3.0303540229797363,4,549,,
-3.2096927165985107,4,599,,
,4,624,-3.271369695663452,
-3.0432498455047607,5,649,,
-3.372076988220215,5,699,,
-3.574556350708008,5,749,,
,5,749,-3.2808680534362793,
-3.1467809677124023,6,799,,
-3.1648621559143066,6,849,,
,6,874,-3.2740323543548584,
-3.090909004211426,7,899,,
-3.4441049098968506,7,949,,
-3.6403348445892334,7,999,,
,7,999,-3.2958614826202393,
-3.1709775924682617,8,1049,,
-3.208613395690918,8,1099,,
,8,1124,-3.3253390789031982,
-3.0909500122070312,9,1149,,
-3.4155092239379883,9,1199,,
-3.6438748836517334,9,1249,,
,9,1249,-3.3347361087799072,
-3.2127857208251953,10,1299,,
-3.268674373626709,10,1349,,
,10,1374,-3.342331886291504,
-3.1578357219696045,11,1399,,
-3.464244842529297,11,1449,,
-3.654345750808716,11,1499,,
,11,1499,-3.3416645526885986,
-3.2593295574188232,12,1549,,
-3.2617568969726562,12,1599,,
,12,1624,-3.356947898864746,
-3.1456522941589355,13,1649,,
-3.495288133621216,13,1699,,
-3.655386447906494,13,1749,,
,13,1749,-3.353780508041382,
-3.301442861557007,14,1799,,
-3.1719751358032227,14,1849,,
,14,1874,-3.3723206520080566,
-3.1440796852111816,15,1899,,
-3.502087116241455,15,1949,,
-3.663994312286377,15,1999,,
,15,1999,-3.379426956176758,
-3.312559127807617,16,2049,,
-3.289475202560425,16,2099,,
,16,2124,-3.378082513809204,
-3.1525180339813232,17,2149,,
-3.4944794178009033,17,2199,,
-3.688723564147949,17,2249,,
,17,2249,-3.3698744773864746,
-3.334724187850952,18,2299,,
-3.2719428539276123,18,2349,,
,18,2374,-3.3766579627990723,
-3.1540277004241943,19,2399,,
-3.540534496307373,19,2449,,
-3.6823623180389404,19,2499,,
,19,2499,-3.380927801132202,
-3.3265438079833984,20,2549,,
-3.234555959701538,20,2599,,
,20,2624,-3.387725591659546,
-3.1840219497680664,21,2649,,
-3.4790568351745605,21,2699,,
-3.6924445629119873,21,2749,,
,21,2749,-3.3832552433013916,
-3.3588626384735107,22,2799,,
-3.2518563270568848,22,2849,,
,22,2874,-3.3961169719696045,
-3.2074995040893555,23,2899,,
-3.5226337909698486,23,2949,,
-3.654325008392334,23,2999,,
,23,2999,-3.3876070976257324,
-3.365978956222534,24,3049,,
-3.269153118133545,24,3099,,
,24,3124,-3.3785884380340576,
-3.150885820388794,25,3149,,
-3.527512550354004,25,3199,,
-3.6771085262298584,25,3249,,
,25,3249,-3.3919296264648438,
-3.3590445518493652,26,3299,,
-3.2406017780303955,26,3349,,
,26,3374,-3.3799805641174316,
-3.2276501655578613,27,3399,,
-3.496274709701538,27,3449,,
-3.695770502090454,27,3499,,
,27,3499,-3.3885788917541504,
,28,3500,,-3.4047176837921143
