train_loss,epoch,step,val_loss
-0.2847643237955748,0,49,
-0.41862385010877023,0,99,
-0.5672733836895443,0,149,
-0.5744448349871405,0,199,
-0.6190545355084898,0,249,
,0,249,0.9621785677889819
-0.6419046274035911,1,299,
-0.9173338079700968,1,349,
-1.1029200027080304,1,399,
-1.2630269239987595,1,449,
-1.0789256081525944,1,499,
,1,499,4.937620642216654
-1.3173641495900823,2,549,
-1.3024423910294856,2,599,
-1.3649217336803265,2,649,
-1.4485551244783264,2,699,
-1.2773870644975776,2,749,
,2,749,4.735473010578024
-1.4368032151651826,3,799,
-1.5720931203750763,3,849,
-1.4117426009741398,3,899,
-1.5012851930173572,3,949,
-1.3507382123671479,3,999,
,3,999,4.802412953933806
-1.5289877978810542,4,1049,
-1.6631591624496591,4,1099,
-1.5009666676857276,4,1149,
-1.5762713177460275,4,1199,
-1.4107932584147647,4,1249,
,4,1249,11.502351455684996
-1.6363769646329651,5,1299,
-1.7796809812626506,5,1349,
-1.6557290456482687,5,1399,
-1.6632911556581784,5,1449,
-1.440609149787179,5,1499,
,5,1499,6.2806023170703655
